Nome;Preco;Quantidade;Fabricante;Ano de criacao;Descricao do produto
iPhone 12;799.99;50;Apple;2020;O iPhone 12 e um smartphone poderoso, com processador A14 Bionic, camera dupla de 12MP, tela Super Retina XDR de 6,1 polegadas e suporte para 5G.
Samsung Galaxy S21;899.99;30;Samsung;2021;O Samsung Galaxy S21 e um smartphone topo de linha, com processador Exynos 2100, camera tripla de 12MP, tela Dynamic AMOLED 2X de 6,2 polegadas e suporte para 5G.
Google Pixel 5;699.99;20;Google;2020;O Google Pixel 5 e um smartphone com camera de 12,2MP, tela OLED de 6 polegadas, processador Snapdragon 765G e integracao com os servicos do Google.
OnePlus 9 Pro;899.99;15;OnePlus;2021;O OnePlus 9 Pro e um smartphone com camera Hasselblad de 48MP, tela Fluid AMOLED de 6,7 polegadas, processador Snapdragon 888 e suporte para 5G.
Xiaomi Mi 11;699.99;25;Xiaomi;2021;O Xiaomi Mi 11 e um smartphone com camera tripla de 108MP, tela AMOLED de 6,81 polegadas, processador Snapdragon 888 e carregamento rapido de 55W.
Motorola Moto G Power;249.99;40;Motorola;2020;O Motorola Moto G Power e um smartphone com bateria de longa duracao, camera tripla de 16MP, tela Max Vision HD+ de 6,4 polegadas e processador Snapdragon 665.
Sony Xperia 1 III;1199.99;10;Sony;2021;O Sony Xperia 1 III e um smartphone com camera ZEISS de 12MP, tela OLED de 6,5 polegadas, processador Snapdragon 888 e resistencia a agua e poeira.
LG Velvet;499.99;15;LG;2020;O LG Velvet e um smartphone com camera tripla de 48MP, tela P-OLED de 6,8 polegadas, processador Snapdragon 765G e suporte para caneta stylus.
Nokia 8.3 5G;699.99;10;Nokia;2020;O Nokia 8.3 5G e um smartphone com camera quad de 64MP, tela IPS LCD de 6,81 polegadas, processador Snapdragon 765G e suporte para 5G.
Huawei P40 Pro;999.99;5;Huawei;2020;O Huawei P40 Pro e um smartphone com camera quad de 50MP, tela OLED de 6,58 polegadas, processador Kirin 990 5G e suporte para carregamento sem fio.
Samsung Galaxy A52;399.99;40;Samsung;2021;O Samsung Galaxy A52 e um smartphone intermediario com camera quadrupla de 64MP, tela Super AMOLED de 6,5 polegadas, processador Snapdragon 720G e bateria de longa duracao.
Xiaomi Redmi Note 10;249.99;30;Xiaomi;2021;O Xiaomi Redmi Note 10 e um smartphone acessivel com camera quadrupla de 48MP, tela AMOLED de 6,43 polegadas, processador Snapdragon 678 e carregamento rapido de 33W.
Motorola Moto G30;199.99;25;Motorola;2021;O Motorola Moto G30 e um smartphone de entrada com camera quadrupla de 64MP, tela HD+ de 6,5 polegadas, processador Snapdragon 662 e bateria de longa duracao.
iPhone SE (2020);399.99;20;Apple;2020;O iPhone SE (2020) e um smartphone compacto com processador A13 Bionic, camera de 12MP, tela Retina HD de 4,7 polegadas e suporte para carregamento sem fio.
OnePlus Nord CE 5G;349.99;15;OnePlus;2021;O OnePlus Nord CE 5G e um smartphone com camera tripla de 64MP, tela AMOLED de 6,43 polegadas, processador Snapdragon 750G e suporte para 5G.
Google Pixel 4a;349.99;20;Google;2020;O Google Pixel 4a e um smartphone com camera de 12,2MP, tela OLED de 5,81 polegadas, processador Snapdragon 730G e integracao com os servicos do Google.
Sony Xperia 5 II;899.99;10;Sony;2020;O Sony Xperia 5 II e um smartphone com camera tripla de 12MP, tela OLED de 6,1 polegadas, processador Snapdragon 865 e resistencia a agua e poeira.
LG K52;199.99;30;LG;2020;O LG K52 e um smartphone de entrada com camera quadrupla de 48MP, tela HD+ de 6,6 polegadas, processador MediaTek Helio P35 e bateria de longa duracao.
Nokia 5.4;229.99;25;Nokia;2020;O Nokia 5.4 e um smartphone intermediario com camera quadrupla de 48MP, tela HD+ de 6,39 polegadas, processador Qualcomm Snapdragon 662 e Android puro.
Huawei Nova 7i;299.99;15;Huawei;2020;O Huawei Nova 7i e um smartphone com camera quad de 48MP, tela IPS LCD de 6,4 polegadas, processador Kirin 810 e suporte para carregamento rapido.
Samsung Galaxy S20 FE;699.99;30;Samsung;2020;O Samsung Galaxy S20 FE e um smartphone com camera tripla de 12MP, tela Super AMOLED de 6,5 polegadas, processador Exynos 990 e suporte para carregamento sem fio.
Xiaomi Mi 11 Lite;349.99;25;Xiaomi;2021;O Xiaomi Mi 11 Lite e um smartphone leve e fino com camera tripla de 64MP, tela AMOLED de 6,55 polegadas, processador Snapdragon 732G e suporte para carregamento rapido.
Motorola Moto G60;299.99;20;Motorola;2021;O Motorola Moto G60 e um smartphone com camera tripla de 108MP, tela IPS LCD de 6,8 polegadas, processador Snapdragon 732G e bateria de longa duracao.
